model,var_num,train_subset_size,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,19,12350,0.6693237219203427,0.8243056868542108,0.662357922888344,0.498203201568115,0.6056753842052246,0.22186234817813766,0.46957799133723754,0.26870815195769604,0.46957799133723754,0.28686628387511026,0.12845483356178566,0.11214767993176117
lgb,20,12350,0.6718915721843496,0.8232520859207466,0.6654796349877588,0.5026634382566585,0.6000446458378332,0.22186234817813766,0.47674214606008547,0.2657798275389477,0.47674214606008547,0.2840106703736721,0.1289692074425177,0.11111557080021692
lgb,21,12350,0.6714142698463238,0.8236505602557547,0.6756876663708962,0.5017770597738287,0.6009466327504044,0.22186234817813766,0.47865347876660747,0.266020180996964,0.47865347876660747,0.2842450558042735,0.1289269882334179,0.11143391832543002
lgb,22,12350,0.6700662963517444,0.8243061359053736,0.6767317939609236,0.49967320261437903,0.6058115594593286,0.22186234817813766,0.48051186677481283,0.26904401994955685,0.48051186677481283,0.2871938121933929,0.12839583677806832,0.11233630443453774
lgb,23,12350,0.6714677459826126,0.8237965409315602,0.683684794672586,0.5021954789396651,0.6030935792068421,0.22186234817813766,0.4882627857135965,0.2674515616240426,0.4882627857135965,0.28564089494634837,0.12867555953131057,0.11170090898631344
lgb,24,12350,0.6702857652265245,0.8243006399096212,0.6872227151730258,0.49991863303498774,0.6055203906667181,0.22186234817813766,0.4878082900617442,0.2698303108626776,0.4878082900617442,0.2879605793361283,0.12825772110147973,0.11229173362340399
lgb,25,12350,0.6688385123770606,0.823967473232841,0.6900662251655628,0.4970722186076772,0.6044257087106136,0.22186234817813766,0.49182388962307055,0.2684850961128725,0.49182388962307055,0.28664876655429217,0.12849401436422245,0.11192179580393233
lgb,26,12350,0.6743766603666741,0.8235520423354503,0.6867708562623817,0.5073233542572025,0.6025763964509632,0.22186234817813766,0.4905073946135118,0.26661766414503996,0.4905073946135118,0.28482770331887397,0.12882203752386528,0.11159058192826632
lgb,1,12549,0.5,0.521476262335533,0.0,0.0,0.4505628233760792,0.2216112837676309,0.0012699020930252436,0.0011082480890474145,0.0012699020930252436,0.024202418416898852,0.1754600083146821,0.0006860097518651204
lgb,2,12549,0.5043405871105759,0.5902209484007415,0.037604456824512536,0.02460456942003515,0.3030658328714356,0.2216112837676309,0.046066186191085934,0.019479781879626512,0.046066186191085934,0.04214920615293105,0.17223296247564926,0.00909347897028259
lgb,3,12549,0.515362938378388,0.6497216429462223,0.1358839050131926,0.07813244402096235,0.34173543484236185,0.2216112837676309,0.14188151018068573,0.04650722064184132,0.14188151018068573,0.06855177613121,0.16748546644229978,0.02377718705169752
lgb,4,12549,0.519422907560202,0.6488395014610563,0.18014003819223426,0.1003700277520814,0.34486598663237267,0.2216112837676309,0.15061007518698877,0.046322056240878595,0.15061007518698877,0.06837089269283048,0.1675179914353937,0.023408502313925203
lgb,5,12549,0.6466317414196281,0.8082602004704963,0.5540447107628486,0.4537114261884904,0.5726235909543752,0.2216112837676309,0.3572554343578954,0.23749460526449806,0.3572554343578954,0.25512357199511637,0.13393763903279074,0.10094495684278793
lgb,6,12549,0.6503525207818925,0.8075578551660838,0.5697165245448259,0.4612025529056097,0.579848236327398,0.2216112837676309,0.3743276324629805,0.23969853421436327,0.3743276324629805,0.25727654656432797,0.1335505086043649,0.10138147442918496
