model,train_subset_size,var_num,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,12350,5,0.5443314241239812,0.7028641830310671,0.2910469524642753,0.19690635451505017,0.3942695252241751,0.22186234817813766,0.18224192556310104,0.08525641137448492,0.18224192556310104,0.1079696889767674,0.16067898984948578,0.043484116857314924
lgb,12350,6,0.5292028318806333,0.6426904681744946,0.18880900281337917,0.1416242531533525,0.3505802823787022,0.22186234817813766,0.0929485159683906,0.0469467796015266,0.0929485159683906,0.07061129349791406,0.16740825585509286,0.021988910906260675
lgb,12350,7,0.6458591781801434,0.8060574678496939,0.5853544776119404,0.45215351097704043,0.5752457838577083,0.22186234817813766,0.3939652970468067,0.23653390881132363,0.3939652970468067,0.2554909340200535,0.13410638985823245,0.09994857039670674
lgb,12350,8,0.5360894219399526,0.669697254391857,0.30071599045346054,0.16572668112798264,0.37625046147919,0.22186234817813766,0.21748743483366761,0.06490949486795616,0.21748743483366761,0.08812799072889588,0.1642530209019836,0.03074490479336751
lgb,12350,9,0.6541934896640527,0.8112551569621244,0.5948812543232649,0.4688071868241557,0.578669956364205,0.22186234817813766,0.39783911704053565,0.24319845660807593,0.39783911704053565,0.2619899996794248,0.1329357308658094,0.10305979553495417
lgb,12350,10,0.5354984315619086,0.683911578467942,0.33005073112503736,0.1640625,0.38020705984738556,0.22186234817813766,0.2578764189643239,0.07294189793286998,0.2578764189643239,0.09596094751958006,0.1628420917338726,0.03618066182599944
lgb,12350,11,0.6646243819786943,0.8166488080971657,0.6355348009784301,0.4881940012763242,0.5828893819192797,0.22186234817813766,0.43290015570493834,0.2479475090431702,0.43290015570493834,0.2666211321338301,0.13210153759296037,0.10602880404689793
lgb,12350,12,0.6563528595617089,0.8150602310372137,0.5979620194534507,0.4730897009966778,0.5876603533804068,0.22186234817813766,0.40718017679331087,0.24946676624741715,0.40718017679331087,0.2681026658589968,0.1318346729590505,0.1060490521423524
lgb,12350,13,0.5511959325804737,0.7041708731046233,0.39558573853989815,0.21562110511009555,0.4183452785749351,0.22186234817813766,0.2954191263943976,0.09955497119994561,0.2954191263943976,0.12191321252466691,0.15816738093784571,0.04579134660304461
lgb,12350,14,0.6646943753881852,0.8205003492056129,0.6468468468468468,0.4892605345138547,0.5983356220593025,0.22186234817813766,0.45054725677690133,0.26093590944525735,0.45054725677690133,0.2792870277951237,0.12982006431201193,0.10972414983936585
lgb,12350,15,0.5803406611454459,0.7459605797898707,0.4600471574534975,0.30105465004793863,0.4634536909250435,0.22186234817813766,0.3113854514390897,0.1412608712929868,0.3113854514390897,0.16258354625982885,0.1508415445165348,0.06551152518960134
lgb,12350,16,0.6627772588308254,0.8156471311448845,0.6258845012554212,0.48543371522094925,0.5882840186170074,0.22186234817813766,0.43337798286684925,0.25341481811798283,0.43337798286684925,0.27195268676302775,0.1311411791818609,0.10611213475993729
