,HHID,PN,var1,zero_counts,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12
158,011826,011,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,011841,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,011854,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,011854,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,011856,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,011859,010,12.0,0,12.0,11.0,12.0,11.0,8.0,11.0,11.0,11.0,9.0,11.0,11.0
164,011862,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,011862,030,8.0,0,9.0,9.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0
166,011876,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,011878,040,8.0,0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0
168,011881,010,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0
169,011881,011,9.0,0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0
170,011902,030,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,011902,031,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,011911,010,8.0,0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0
173,011911,040,9.0,0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0
174,011932,020,9.0,0,10.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0
175,011933,010,9.0,0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0
176,011936,010,8.0,0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0
177,011936,011,9.0,0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0
178,011937,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,011948,020,8.0,0,9.0,12.0,9.0,12.0,8.0,8.0,12.0,11.0,10.0,8.0,8.0
180,011983,040,8.0,0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
181,011993,010,9.0,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
182,011993,020,8.0,0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
183,011999,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,011999,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,012005,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,012009,010,8.0,0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0
187,012009,040,9.0,0,9.0,8.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,8.0
188,012010,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,012010,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,012033,010,9.0,0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0
191,012033,011,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
192,012045,011,9.0,0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
193,012094,010,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
194,012104,010,8.0,0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,11.0,8.0,8.0,8.0
195,012104,020,8.0,0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0
196,012112,030,9.0,0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0
197,012118,030,9.0,0,8.0,12.0,11.0,10.0,11.0,9.0,10.0,12.0,8.0,8.0,10.0
198,012124,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,012124,030,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,012135,020,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
201,012135,030,9.0,0,8.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0
202,012145,020,9.0,0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0
203,012161,010,9.0,0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0
204,012161,020,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,12.0,8.0,8.0,8.0
205,012162,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,012166,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,012166,040,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,012172,010,9.0,0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
209,012172,020,8.0,0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0
210,012178,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
