,HHID,PN,value
835,14449,40,-1.0
836,14455,10,-1.0
837,14456,10,-1.0
838,14456,20,-1.0
839,14458,20,-1.0
840,14458,30,-1.0
841,14468,10,-1.0
842,14468,20,-1.0
843,14473,10,-1.0
844,14473,20,-1.0
845,14535,10,-1.0
846,14539,10,-1.0
847,14547,10,-1.0
848,14548,10,-1.0
849,14553,10,-1.0
850,14568,10,-1.0
851,14568,20,-1.0
852,14571,10,-1.0
853,14571,40,-1.0
854,14576,10,-1.0
855,14578,10,-1.0
856,14578,40,-1.0
857,14587,10,-1.0
858,14597,10,1.0
859,14605,10,-1.0
860,14605,40,-1.0
861,14617,10,-1.0
862,14617,20,-1.0
863,14618,10,-1.0
864,14619,10,-1.0
865,14619,20,-1.0
866,14624,10,-1.0
867,14624,40,-1.0
868,14640,10,-1.0
869,14648,10,-1.0
870,14648,20,-1.0
871,14655,20,-1.0
872,14655,30,-1.0
873,14670,10,-1.0
874,14672,10,-1.0
875,14672,40,-1.0
876,14674,10,-1.0
877,14681,10,-1.0
878,14681,40,-1.0
879,14701,10,-1.0
880,14711,10,-1.0
881,14726,10,-1.0
882,14726,40,-1.0
883,14731,10,-1.0
884,14731,20,-1.0
885,14736,10,-1.0
886,14736,20,-1.0
887,14746,10,1.0
888,14748,10,-1.0
889,14748,20,-1.0
890,14754,10,-1.0
891,14754,40,-1.0
892,14756,10,-1.0
893,14756,40,-1.0
894,14758,20,-1.0
895,14758,30,-1.0
896,14768,10,-1.0
897,14771,10,-1.0
898,14771,20,-1.0
899,14782,10,1.0
900,14783,10,-1.0
901,14783,40,-1.0
902,14787,10,1.0
903,14802,10,-1.0
904,14802,20,-1.0
905,14803,10,-1.0
906,14808,10,-1.0
907,14813,10,1.0
908,14823,20,-1.0
909,14823,30,-1.0
910,14830,10,-1.0
911,14830,20,-1.0
912,14844,10,1.0
913,14852,10,-1.0
914,14852,20,-1.0
915,14869,10,-1.0
916,14869,20,-1.0
917,14872,10,-1.0
918,14872,20,-1.0
919,14902,10,-1.0
920,14912,10,-1.0
921,14955,10,-1.0
922,14955,40,-1.0
923,14959,10,-1.0
924,14959,20,-1.0
925,14981,10,-1.0
926,14992,10,-1.0
927,14996,10,-1.0
928,15000,10,-1.0
929,15014,10,-1.0
930,15014,40,-1.0
931,15015,20,-1.0
932,15015,30,-1.0
933,15018,10,-1.0
934,15023,10,-1.0
935,15023,40,-1.0
936,15037,10,-1.0
937,15048,10,-1.0
938,15055,10,-1.0
939,15055,40,-1.0
940,15056,20,-1.0
941,15056,30,-1.0
942,15059,10,-1.0
943,15059,20,-1.0
944,15080,10,-1.0
945,15080,40,-1.0
946,15129,10,-1.0
947,15131,10,-1.0
948,15133,10,-1.0
949,15140,10,-1.0
950,15140,40,-1.0
951,15148,10,-1.0
952,15159,10,-1.0
953,15172,10,-1.0
954,15172,20,-1.0
955,15189,10,-1.0
956,15189,40,-1.0
957,15195,10,-1.0
958,15195,20,-1.0
959,15200,10,-1.0
960,15200,40,-1.0
961,15204,10,-1.0
962,15204,20,-1.0
963,15209,10,-1.0
964,15216,10,1.0
965,15225,10,-1.0
966,15225,20,-1.0
967,15230,10,-1.0
968,15230,20,-1.0
969,15236,10,-1.0
970,15236,40,-1.0
971,15239,10,-1.0
972,15257,10,-1.0
973,15268,30,-1.0
974,15293,10,1.0
975,15294,10,-1.0
976,15304,20,-1.0
977,15304,30,-1.0
978,15314,10,-1.0
979,15332,10,-1.0
980,15332,40,-1.0
981,15339,10,-1.0
982,15341,10,-1.0
983,15344,10,-1.0
984,15344,20,-1.0
985,15346,20,-1.0
986,15346,30,-1.0
987,15358,10,-1.0
988,15358,20,-1.0
989,15362,10,-1.0
990,15362,20,-1.0
991,15372,10,-1.0
992,15419,10,-1.0
993,15419,40,-1.0
994,15429,10,-1.0
995,15431,10,-1.0
996,15436,10,-1.0
997,15436,20,-1.0
998,15440,10,-1.0
999,15440,40,-1.0
1000,15445,10,-1.0
1001,15445,40,-1.0
1002,15447,10,-1.0
1003,15447,20,-1.0
1004,15451,10,-1.0
1005,15451,40,-1.0
1006,15469,10,-1.0
1007,15471,10,-1.0
1008,15497,10,-1.0
1009,15497,40,-1.0
1010,15502,10,-1.0
1011,15511,10,-1.0
1012,15511,40,-1.0
1013,15514,20,-1.0
1014,15514,30,-1.0
1015,15516,10,-1.0
1016,15516,20,-1.0
1017,15536,10,-1.0
1018,15537,10,-1.0
1019,15543,10,-1.0
1020,15543,20,-1.0
1021,15551,10,-1.0
1022,15551,20,-1.0
1023,15560,10,-1.0
1024,15560,40,-1.0
1025,15565,20,-1.0
1026,15565,30,-1.0
1027,15566,20,-1.0
1028,15566,30,-1.0
1029,15570,10,-1.0
1030,15570,40,-1.0
1031,15581,10,-1.0
1032,15588,10,-1.0
1033,15588,40,-1.0
1034,15589,10,-1.0
1035,15591,10,-1.0
1036,15591,20,-1.0
1037,15592,10,-1.0
1038,15593,20,-1.0
1039,15593,30,-1.0
1040,15604,10,-1.0
1041,15618,10,-1.0
1042,15625,10,-1.0
1043,15625,20,-1.0
1044,15636,10,-1.0
1045,15648,20,-1.0
1046,15657,10,-1.0
1047,15658,10,-1.0
1048,15659,10,-1.0
1049,15662,20,-1.0
1050,15676,10,-1.0
1051,15676,40,-1.0
1052,15698,10,-1.0
1053,15698,40,-1.0
1054,15707,10,-1.0
