,HHID,PN,value
1077,17750,10,1
1078,17750,20,1
1079,17755,10,1
1080,17773,10,1
1081,17773,40,1
1082,17785,30,-1
1083,17790,10,-1
1084,17790,40,1
1085,17833,10,1
1086,17833,20,1
1087,17844,10,1
1088,17862,10,1
1089,17862,40,1
1090,17909,10,1
1091,17909,20,1
1092,17922,10,1
1093,17923,10,-1
1094,17923,11,1
1095,17924,10,1
1096,17924,40,1
1097,17933,10,-1
1098,17933,20,-1
1099,17952,10,1
1100,17952,40,1
1101,17970,10,1
1102,17970,20,1
1103,17978,10,-1
1104,17978,20,-1
1105,17980,10,1
1106,17980,20,1
1107,17986,20,1
1108,17986,30,1
1109,18034,10,1
1110,18048,10,-1
1111,18052,10,1
1112,18075,10,1
1113,18075,40,1
1114,18092,10,1
1115,18097,10,1
1116,18098,10,1
1117,18100,10,1
1118,18150,10,1
1119,18150,40,1
1120,18155,20,1
1121,18155,30,1
1122,18158,10,1
1123,18163,20,1
1124,18163,30,1
1125,18166,10,1
1126,18175,20,1
1127,18175,30,1
1128,18198,20,1
1129,18199,10,1
1130,18199,20,1
1131,18200,10,1
1132,18200,20,-1
1133,18204,20,1
1134,18210,10,1
1135,18210,40,1
1136,18212,10,1
1137,18216,10,1
1138,18216,20,1
1139,18229,10,1
1140,18243,10,1
1141,18245,10,1
1142,18245,20,1
1143,18259,10,1
1144,18264,10,1
1145,18276,10,1
1146,18276,20,1
1147,18285,20,1
1148,18285,30,-1
1149,18298,10,1
1150,18301,10,1
1151,18301,40,1
1152,18304,10,1
1153,18304,20,1
1154,18309,10,1
1155,18309,20,1
1156,18345,20,1
1157,18352,10,1
1158,18352,40,1
1159,18360,10,1
1160,18363,10,1
1161,18364,11,1
1162,18417,10,1
1163,18421,10,-1
1164,18421,20,1
1165,18424,40,1
1166,18435,40,1
1167,18435,42,1
1168,18439,10,1
1169,18439,40,1
1170,18442,10,1
1171,18442,40,1
1172,18443,10,1
1173,18451,10,1
1174,18451,40,1
1175,18481,20,-1
1176,18481,30,-1
1177,18482,40,1
1178,18482,41,1
1179,18483,10,-1
1180,18508,40,-1
1181,18508,10,1
1182,18508,11,1
1183,18525,20,-1
1184,18525,30,1
1185,18531,20,1
1186,18531,30,1
1187,18536,10,-1
1188,18539,10,1
1189,18539,11,1
1190,18566,10,1
1191,18566,20,1
1192,18632,20,1
1193,18632,30,1
1194,18646,20,1
1195,18679,10,-1
1196,18680,20,1
1197,18686,20,1
1198,18686,30,1
1199,18707,20,1
1200,18733,10,1
1201,18733,20,1
1202,18734,10,1
1203,18739,10,1
1204,18739,40,1
1205,18742,10,-1
1206,18742,40,1
1207,18758,10,1
1208,18759,10,1
1209,18774,10,-1
1210,18774,20,1
1211,18776,10,-1
1212,18776,40,-1
1213,18779,10,1
1214,18779,11,1
1215,18782,10,1
1216,18782,40,-1
1217,18808,10,1
1218,18808,20,-1
1219,18828,10,1
1220,18831,10,1
1221,18865,10,1
1222,18877,10,1
1223,18889,10,1
1224,18889,40,1
1225,18896,10,-1
1226,18896,40,-1
1227,18918,11,1
1228,18918,40,1
1229,18918,41,1
1230,18950,10,1
1231,18961,10,1
1232,18963,10,1
1233,18966,10,1
1234,18972,10,1
1235,18972,11,1
1236,18973,10,1
1237,18973,40,1
1238,18983,20,-1
1239,18983,30,1
1240,18990,10,1
1241,18990,40,1
1242,18992,10,1
1243,19001,10,1
1244,19031,20,1
1245,19047,20,1
1246,19047,30,1
1247,19049,10,1
1248,19050,10,1
1249,19052,10,1
1250,19052,40,1
1251,19053,10,1
1252,19053,40,1
1253,19054,10,1
1254,19054,20,-1
1255,19058,10,1
1256,19065,10,1
1257,19065,20,1
1258,19110,10,1
1259,19110,20,1
1260,19133,10,1
1261,19142,30,1
1262,19154,10,1
1263,19154,40,1
1264,19158,10,1
1265,19187,20,1
1266,19212,20,1
1267,19213,20,1
1268,19216,10,1
1269,19280,10,1
1270,19280,20,1
1271,19286,10,-1
1272,19286,20,-1
1273,19298,20,-1
1274,19298,21,1
1275,19298,10,-1
1276,19298,11,1
1277,19333,10,-1
1278,19338,10,-1
1279,19338,20,1
1280,19345,30,1
1281,19351,10,1
1282,19373,10,-1
1283,19375,10,1
1284,19389,10,-1
1285,19389,40,1
1286,19403,10,1
1287,19424,10,1
1288,19425,20,1
1289,19433,30,-1
1290,19433,40,1
1291,19442,40,1
1292,19454,10,-1
1293,19454,20,1
1294,19458,10,-1
1295,19458,40,1
1296,19488,20,1
1297,19489,10,1
1298,19493,10,1
1299,19496,10,1
1300,19496,20,1
1301,19501,10,1
1302,19535,20,1
1303,19535,30,1
1304,19536,10,1
1305,19536,40,-1
1306,19537,10,-1
1307,19537,11,1
1308,19542,20,1
1309,19558,10,1
1310,19564,10,1
1311,19569,10,1
1312,19585,10,1
1313,19620,10,1
1314,19621,10,1
1315,19621,40,1
1316,19625,20,-1
1317,19625,30,1
1318,19626,10,-1
1319,19626,20,1
1320,19629,20,-1
1321,19629,30,-1
1322,19637,10,-1
1323,19646,10,1
1324,19657,10,1
1325,19657,20,1
1326,19662,10,1
1327,19672,20,1
1328,19672,30,1
1329,19687,10,1
1330,19687,40,1
1331,19704,10,1
1332,19704,11,1
1333,19705,10,1
1334,19705,20,1
1335,19715,10,1
1336,19715,40,1
1337,19738,10,-1
1338,19738,20,-1
1339,19742,10,-1
1340,19742,40,-1
1341,19746,10,-1
1342,19746,20,1
1343,19747,20,1
1344,19747,30,1
1345,19759,20,-1
1346,19769,40,1
1347,19770,10,1
1348,19773,10,1
1349,19773,11,1
1350,19786,10,1
1351,19786,20,1
1352,19796,10,1
1353,19806,20,1
1354,19822,10,1
1355,19826,10,1
1356,19857,10,1
1357,19857,20,1
1358,19877,10,1
1359,19904,20,1
1360,19909,20,1
1361,19935,10,1
1362,19935,11,1
1363,19950,10,1
1364,19973,10,1
1365,19973,40,-1
1366,19976,10,1
1367,19976,20,1
1368,19992,40,1
1369,19995,10,1
1370,20004,10,1
1371,20041,10,1
1372,20042,10,1
1373,20077,10,1
1374,20077,40,1
1375,20079,10,1
1376,20079,20,1
1377,20080,30,1
1378,20081,10,-1
1379,20081,20,1
1380,20093,40,1
1381,20093,41,1
1382,20093,10,1
1383,20114,10,1
1384,20114,40,1
1385,20139,10,1
1386,20152,10,1
1387,20161,10,-1
1388,20161,20,-1
1389,20162,10,1
1390,20162,20,-1
1391,20168,10,1
1392,20168,20,1
1393,20176,10,-1
1394,20190,10,1
1395,20201,10,1
1396,20221,10,-1
1397,20221,11,1
1398,20238,10,-1
1399,20242,10,1
1400,20242,40,1
1401,20247,10,1
1402,20247,20,1
1403,20248,10,1
1404,20248,40,-1
1405,20256,40,1
1406,20259,10,1
1407,20259,20,-1
1408,20293,40,1
1409,20293,41,1
1410,20306,10,1
1411,20306,20,1
1412,20315,20,-1
1413,20315,30,-1
1414,20316,10,-1
1415,20316,20,1
1416,20346,10,1
1417,20346,20,1
1418,20363,10,-1
1419,20363,40,1
1420,20369,10,1
1421,20369,20,-1
1422,20374,10,-1
1423,20383,10,1
1424,20383,40,1
1425,20384,10,1
1426,20384,40,1
1427,20394,10,1
1428,20397,10,1
1429,20442,10,-1
1430,20442,20,1
1431,20446,10,1
1432,20446,20,-1
1433,20448,20,1
1434,20448,30,1
1435,20455,20,-1
1436,20459,10,-1
1437,20459,20,-1
1438,20471,10,-1
1439,20471,40,-1
1440,20480,10,1
1441,20490,11,1
1442,20501,10,-1
1443,20511,10,1
1444,20514,10,-1
1445,20524,10,1
1446,20524,20,1
1447,20527,10,1
1448,20527,40,1
1449,20540,20,1
1450,20554,10,1
1451,20554,20,1
1452,20557,11,-1
1453,20558,10,-1
1454,20558,20,-1
1455,20559,20,-1
1456,20559,30,-1
1457,20560,10,1
1458,20560,20,1
