,HHID,PN,HB027,JB027,KB027,LB027
878,16054,20,,,,
879,16062,10,,,,
880,16062,40,,,,
881,16064,10,,,,
882,16064,40,,,,
883,16086,10,,,,
884,16086,20,,,,
885,16107,10,,,,
886,16116,10,,,,
887,16116,20,,,,
888,16119,20,,,,
889,16142,10,,,,
890,16161,20,,,,
891,16162,10,,,,
892,16162,40,,,,
893,16174,10,,,,
894,16174,40,,,,
895,16190,10,,,,
896,16197,10,,,,
897,16197,20,,,,
898,16211,10,,,,
899,16220,10,,,,
900,16221,10,,,,
901,16233,10,,,,
902,16233,20,,,,
903,16237,30,,,,
904,16243,10,,,,
905,16245,10,,,,
906,16245,40,,,,
907,16246,20,,,,
908,16246,30,,,,
909,16247,20,,,,
910,16247,30,,,,
911,16248,10,,,,
912,16250,10,,,,
913,16250,20,,,,
914,16306,10,,,,
915,16331,10,,,,
916,16331,11,-0.719006929,,,
917,16367,10,,,,
918,16367,11,,,,
919,16376,20,,,,
920,16381,10,,,,
921,16381,40,,,,
922,16400,10,,,,
923,16404,10,,,,
924,16404,20,,,,
925,16407,10,,,,
926,16407,11,,,,
927,16412,10,,,,
928,16412,20,,,,
929,16415,10,,,,
930,16415,40,,,,
931,16420,10,,,,
932,16420,20,,,,
933,16430,10,,,,
934,16433,10,,,,
935,16433,20,,,,
936,16437,10,,,,
937,16437,20,,,,
938,16439,20,,,,
939,16439,30,,,,
940,16444,10,,,,
941,16444,40,,,,
942,16449,20,,,,
943,16449,30,,,,
944,16454,20,,,,
945,16454,30,,,,
946,16457,10,,,,
947,16459,10,,,,
948,16459,40,,,,
949,16460,10,,,,
950,16468,10,,,,
951,16468,40,,,,
952,16471,10,,,,
953,16475,10,,,,
954,16478,10,,,,
955,16484,20,,,,
956,16484,30,,,,
957,16491,10,,,,
958,16496,10,,,,
959,16500,10,,,,
960,16500,20,,,,
961,16510,30,,,,
962,16517,10,,,,
963,16528,30,,,,
964,16528,40,,,,
965,16558,10,,,,
966,16558,20,,,,
967,16566,10,,,,
968,16566,20,,,,
969,16570,10,,,,
970,16599,10,,,,
971,16602,10,,,,
972,16602,20,,,,
973,16603,10,,,,
974,16606,10,,,,
975,16612,10,,,,
976,16619,20,,,,
977,16631,10,,,,
978,16631,20,,,,
979,16648,10,,,,
980,16648,20,,,,
981,16650,20,,,,
982,16650,30,,,,
983,16659,10,,,,
984,16659,40,,,,
985,16660,10,,,,
986,16660,20,,,,
987,16663,10,,,,
988,16672,10,,,,
989,16672,20,,,,
990,16681,10,,,,
991,16698,10,,,,
992,16700,10,,,,
993,16700,20,,,,
994,16704,20,-0.719006929,,,
995,16705,10,,,,
996,16705,20,,,,
997,16706,10,,,,
998,16706,20,,,,
999,16710,10,,,,
1000,16711,10,,,,
1001,16711,20,,,,
1002,16715,30,,,,
1003,16715,40,,,,
1004,16736,10,,,,
1005,16736,20,,,,
1006,16747,10,,,,
1007,16747,20,,,,
1008,16761,10,,,,
1009,16770,10,,,,
1010,16789,10,,,,
1011,16789,20,,,,
1012,16799,10,,,,
1013,16799,40,,,,
1014,16810,10,,,,
1015,16810,11,,,,
1016,16822,10,,,,
1017,16822,20,,,,
1018,16827,10,,,,
