,HHID,PN,V47_x,V47_y,W103,E374,F686,G757,HX060_R,JX060_R,KX060_R,LX060_R
298,011932,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
299,011932,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
300,011933,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
301,011933,040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
302,011936,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
303,011936,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
304,011937,010,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0
305,011948,030,1.0,1.0,1.0,,,,,,,
306,011956,010,-1.0,-1.0,-1.0,-1.0,,,,,,
307,011956,040,1.0,1.0,1.0,1.0,,,,,,
308,011959,010,1.0,1.0,1.0,,,,,,,
309,011959,020,-1.0,-1.0,-1.0,,,,,,,
310,011983,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
