,model,train_subset_size,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
56,lgb,5068,0.6931090968979026,0.7975107932287929,0.9175187457396047,0.5697278911564626,0.6571943190962634,0.3052486187845304,0.7458534066904207,0.24012442242604604,0.7458534066904207,0.5642176735167329,0.16235869039979245,0.16264699206271618
57,lgb,5111,0.6928012791103477,0.7989400872869293,0.9144021739130436,0.5687285223367697,0.6593377474355347,0.3046370573273332,0.7449760557369942,0.24524850912859797,0.7449760557369942,0.5713781138908873,0.1612638532566151,0.16419746345815
58,lgb,5155,0.6850264291960269,0.7957432917289166,0.9084199932908421,0.5571549534292972,0.6515161643102992,0.304364694471387,0.7369329688721551,0.23593225308502086,0.7369329688721551,0.5711696659460821,0.16325440957307613,0.15978166999908341
59,lgb,5199,0.6944344779449535,0.7966285129459926,0.9086666666666666,0.5716723549488054,0.650840205329899,0.3058280438545874,0.7378657992423339,0.23372846250721224,0.7378657992423339,0.578728234714579,0.16372528212469936,0.15986118303891544
60,lgb,5242,0.6937717874214281,0.7944169303704401,0.9097544790975448,0.5706984667802385,0.6487551207167178,0.304845478824876,0.7380092840031724,0.23306318347203103,0.7380092840031724,0.5816739589431985,0.16386742886041536,0.15700807880292506
61,lgb,5286,0.6940026507620941,0.7986705016449626,0.9070533948582729,0.5714285714285715,0.6612893894786424,0.3045781309118426,0.7372721250304144,0.24239893153964898,0.7372721250304144,0.591629468665158,0.16187270778384108,0.16427384120234306
62,lgb,5330,0.6948427776536049,0.7977382254794703,0.904746317512275,0.5724020442930153,0.6511106094579895,0.30412757973733584,0.7312452755042473,0.23849206267065137,0.7312452755042473,0.5939582832224033,0.16270746827865698,0.16151733756404785
63,lgb,5373,0.6851033836429157,0.7970961214958768,0.9061277705345502,0.5574324324324325,0.6475883569810301,0.30429927414852037,0.7276184017890823,0.2324410209167035,0.7276184017890823,0.5963559330026034,0.16400036312054947,0.15974708263828347
64,lgb,5417,0.6980792758243438,0.7993724046255015,0.9045776918117345,0.5770887166236003,0.6653394406116946,0.30496584825549194,0.7268377907252368,0.2503641455182497,0.7268377907252368,0.6123551240542406,0.16017082164815477,0.16591970073427492
65,lgb,5461,0.6898961262013718,0.7914034530489645,0.9026492180019152,0.5646258503401361,0.6456605020327271,0.30488921442959166,0.723852669943507,0.22766834148596526,0.723852669943507,0.6057245540154136,0.16502011688674717,0.1535847442117613
66,lgb,5504,0.6867601099517294,0.7938110979095838,0.897662665824384,0.559796437659033,0.6469668470682086,0.30523255813953487,0.720760981629595,0.22826558649183837,0.720760981629595,0.6118367302060749,0.16489250663072214,0.15728078062347386
67,lgb,5548,0.6940796052089828,0.799115563032064,0.9068089112017572,0.5716694772344013,0.6562992886428884,0.3047945205479452,0.7262229612059999,0.24321603971763528,0.7262229612059999,0.6234795782778715,0.16169812049928015,0.1642912729606937
68,lgb,5592,0.6979552664290393,0.7938032554181813,0.8970679975046787,0.5777027027027029,0.6485198968784839,0.30454220314735336,0.7198438062010699,0.2360396967302837,0.7198438062010699,0.6243981110584014,0.163231452644269,0.1565843453011877
69,lgb,5636,0.7058369702887214,0.7959795467824219,0.9031858954531394,0.5904920767306089,0.6509540155076533,0.30500354861603973,0.7226226177430676,0.24133391442909757,0.7226226177430676,0.6328616064962651,0.1621002644897357,0.16028274429988823
70,lgb,5679,0.700351637708267,0.7973529630893142,0.8959359605911331,0.5813559322033898,0.6570874511813439,0.30515935904208485,0.7141022351534474,0.24423409355492254,0.7141022351534474,0.63929593146687,0.16148059819344926,0.16215515581028903
71,lgb,5723,0.6895412534654008,0.7972402272754009,0.8984709480122325,0.5647058823529412,0.6550371493779493,0.3054342128254412,0.7178155099626287,0.23837452573004225,0.7178155099626287,0.6418506333495007,0.1627325817897555,0.16237702989253175
72,lgb,5767,0.6983870936118987,0.7985067896369318,0.8986650485436893,0.5780051150895141,0.6572690677761654,0.30605167331368127,0.7132456384682437,0.24562266418155765,0.7132456384682437,0.6511665883662912,0.16118390947871536,0.16374411266098687
73,lgb,5810,0.6956358495966999,0.7941404825484959,0.8931003849570623,0.5743073047858941,0.652398204630287,0.3072289156626506,0.7077468116507424,0.23886090786220804,0.7077468116507424,0.6549164944057853,0.1626286590314213,0.16001792002974835
74,lgb,5854,0.6934703416581379,0.7912887566122006,0.8946745562130178,0.5714285714285715,0.649420031999812,0.30765288691493,0.7083472382911484,0.2274144324801799,0.7083472382911484,0.6552045006350817,0.16507436831273936,0.1555022883682021
75,lgb,5898,0.6879315821050032,0.7975794150285664,0.8929824561403509,0.561163387510693,0.6598383539671452,0.30857917938284163,0.7082313970718471,0.2426729064489982,0.7082313970718471,0.6682709479917383,0.16181416897986167,0.16399845517830283
76,lgb,5941,0.6989257747401195,0.7976421549597875,0.8901162790697673,0.5795644891122278,0.6611365273146518,0.30870223868035684,0.7101443431836281,0.2453170819004632,0.7101443431836281,0.673941415072185,0.16124920166658419,0.1645535580827604
77,lgb,5985,0.6919376247446288,0.7968598664423715,0.8886324293133295,0.5682967959527825,0.6521423998615312,0.3091060985797828,0.7057420526979421,0.23883602698230222,0.7057420526979421,0.6762574466503006,0.1626339752005373,0.16058248116212873
78,lgb,6029,0.6970381850906395,0.7995625850420162,0.8834812482107072,0.5764705882352942,0.6574835761504663,0.30900646873445015,0.7002379329392676,0.250340085369699,0.7002379329392676,0.685179333528031,0.16017596245584068,0.16548751604662912
79,lgb,6072,0.6971151395375282,0.7940542151430667,0.8811627244229124,0.5766974015088013,0.6510404265248954,0.3086297760210804,0.6976524668401182,0.23640087218838512,0.6976524668401182,0.6827519815620069,0.16315428214937153,0.15899959270972136
80,lgb,6116,0.6920381066657256,0.7978705675218903,0.8821529745042492,0.5680272108843537,0.6563676234554006,0.3083714846304774,0.6957848568454419,0.24285814578698983,0.6957848568454419,0.6890937663180248,0.16177458984715304,0.1637119884841372
81,lgb,6160,0.7013221460193475,0.7986303088765239,0.8814229249011858,0.5831932773109244,0.6511711453574673,0.3086038961038961,0.694147666761962,0.24208494715109707,0.694147666761962,0.6932858894976294,0.16193979520661891,0.16316432498364253
82,lgb,6203,0.7030558267750499,0.8006046560871457,0.8788133221382591,0.5858585858585859,0.6599806186686351,0.3082379493793326,0.693205703425972,0.24904027194435574,0.693205703425972,0.6993296111776081,0.16045368687774744,0.16617164642630491
83,lgb,6247,0.6976239211672765,0.7982862195662318,0.8740906547285955,0.5772151898734178,0.6530580979709876,0.3075076036497519,0.6891529954994516,0.2419151970032407,0.6891529954994516,0.6991138593031867,0.16197606484406288,0.1627899344573491
84,lgb,6291,0.6904583348038005,0.7922465208747516,0.8759002770083102,0.5658783783783784,0.6459621325804443,0.30726434589095536,0.6897480798424557,0.23221461407538146,0.6897480798424557,0.6987824901204944,0.16404873830109148,0.15616851902313167
85,lgb,6335,0.6918606702977401,0.8034583426462917,0.8832318760376314,0.5680473372781064,0.662036918514195,0.3074980268350434,0.690062674483846,0.25074423145320957,0.690062674483846,0.710278953612157,0.16008961064932717,0.17009424518275776
86,lgb,6378,0.6967068398288768,0.8014536057814847,0.8758205689277899,0.5759865659109992,0.656394875578564,0.3074631545939166,0.6838694922617339,0.24262040476161262,0.6838694922617339,0.7107819398545228,0.16182538674426844,0.16742410105755653
87,lgb,6422,0.6948962046262857,0.8014663498300142,0.8749662435862814,0.573109243697479,0.6603704342118901,0.30831516661476177,0.6820721458502612,0.2478298207924925,0.6820721458502612,0.7179647987183566,0.16071231772417743,0.16918674146321833
88,lgb,6466,0.6968607487226542,0.7970029919104702,0.8769766818547305,0.5764411027568922,0.6580445333449523,0.3083823074543767,0.6856830070700105,0.24098571448182382,0.6856830070700105,0.7191875518899833,0.16217466257424462,0.16315383810407086
89,lgb,6509,0.6929850875025978,0.7995331756992562,0.8729519204942251,0.5704753961634697,0.6640417353986254,0.30772776156091564,0.6845665623555612,0.24305576656756556,0.6845665623555612,0.7223505602394914,0.1617323652355495,0.1673747567796238
90,lgb,6553,0.6931625238705832,0.8002870351853377,0.8705440900562853,0.5704697986577182,0.6565005662006731,0.30825576072028077,0.6856823436025048,0.24400493394550338,0.6856823436025048,0.7271536180181519,0.16152956154373432,0.16673355277730872
91,lgb,6597,0.6958902404115739,0.7981176060010744,0.8705321683876092,0.5745577085088459,0.6586435594939871,0.30817038047597395,0.6818793992528682,0.2430465871278935,0.6818793992528682,0.730159999826586,0.16173432655901843,0.16482975393227123
92,lgb,6640,0.6837780025958646,0.7941365613027948,0.8722236738960022,0.5555555555555556,0.652140809001927,0.3081325301204819,0.6785401221899781,0.23305680834064313,0.6785401221899781,0.7299444944395126,0.16386879100181564,0.1602029823905224
93,lgb,6684,0.6965529309350995,0.7996606161845495,0.8662821185107499,0.5755274261603375,0.663259150741585,0.3080490724117295,0.6769520764452097,0.24827213107965218,0.6769520764452097,0.7385322452710306,0.1606178115693634,0.16708163045453897
94,lgb,6728,0.6880619635245725,0.7923867054085743,0.8659579984443867,0.5622895622895623,0.6570543774716586,0.30752080856123665,0.6725949828406677,0.23407486528961075,0.6725949828406677,0.7360921242506289,0.16365126803112812,0.15943268267666375
95,lgb,6771,0.6994879833425482,0.799696887707287,0.8636717735653077,0.5806988352745425,0.6619147294993589,0.3079308817013735,0.6728729473428012,0.24640623183243882,0.6728729473428012,0.7442144480263002,0.16101648862536608,0.16759214914443846
96,lgb,6815,0.6811037130275546,0.7927994165186396,0.8662258392675481,0.5525227460711332,0.6546853260050909,0.3085840058694057,0.6710253404212944,0.2312120497443757,0.6710253404212944,0.7434154718460633,0.16426295104410835,0.15842501666066888
97,lgb,6859,0.7008133643895993,0.8001007760145245,0.8639352554375316,0.5826377295492488,0.6623694115197518,0.3083539874617291,0.6704970828639305,0.24696599072938485,0.6704970828639305,0.7514699425189211,0.16089688783264428,0.16789559806350218
98,lgb,6903,0.6915827520086582,0.7967726187255169,0.8593233273976087,0.5683333333333334,0.6565421436836945,0.3089960886571056,0.6718620496844327,0.23929333758638194,0.6718620496844327,0.7531017380830157,0.16253626400547377,0.1632880904816033
99,lgb,6946,0.6985709020041486,0.7980823147897624,0.86779324055666,0.5794701986754968,0.6591378318768549,0.30895479412611576,0.6715830732852607,0.23823094904511066,0.6715830732852607,0.7557144516997674,0.16276325907854516,0.1645332889789037
100,lgb,6990,0.6990796836338967,0.7955560522466778,0.8595659765527564,0.58,0.6488079565353867,0.30872675250357656,0.6618404813096898,0.232884114563623,0.6618404813096898,0.7567091485658906,0.1639056895893011,0.16084543533692114
101,lgb,7034,0.6949197321004936,0.7937473776669373,0.8596970449466103,0.572642310960068,0.64828120760386,0.30878589707136767,0.6625626777902481,0.23216648772144843,0.6625626777902481,0.7595977162950327,0.1640590212105952,0.1593282794247662
102,lgb,7077,0.6932394783174719,0.796747130628458,0.8570019723865878,0.5707112970711297,0.6583095772704222,0.3083227356224389,0.6624851771890736,0.24010654261640318,0.6624851771890736,0.7642558186496573,0.16236251068638133,0.16434397733876138
103,lgb,7121,0.6964524490140027,0.7964834268550434,0.8597262952101662,0.5757322175732218,0.6587930506089386,0.3085240836961101,0.662001309871646,0.24068050267683117,0.662001309871646,0.767642459526355,0.16223987560439804,0.16510789046273008
104,lgb,7165,0.6891094262825415,0.7987969618188306,0.8604085603112841,0.5645295587010825,0.6569712462784904,0.3088625261688765,0.6633862873087323,0.2428808429014493,0.6633862873087323,0.7716671485901746,0.16176974027192223,0.16567492926168678
105,lgb,7208,0.6888785629418753,0.7952443132134216,0.8618944323933478,0.5637583892617449,0.6548842021804361,0.3088235294117647,0.6634927977399345,0.23899242127369213,0.6634927977399345,0.7731855069335195,0.16260055923997024,0.16205177084258654
