,HHID,PN,F995_x,F995_y,G1082,HB022,JB022,KB022,LB022
514,013573,020,-1.0,-1.0,,,,,
515,013583,020,-1.0,-1.0,,,,,
516,013583,030,-1.0,-1.0,,,,,
517,013590,030,-1.0,-1.0,,,,,
518,013590,040,-1.0,-1.0,,,,,
519,013595,010,-1.0,-1.0,,,,,
520,013595,011,-1.0,-1.0,,,,,
521,013598,010,-1.0,-1.0,,,,,
522,013598,020,-1.0,-1.0,,,,,
523,013600,010,-1.0,-1.0,,,,,
524,013600,020,-1.0,-1.0,,,,,
525,013601,040,-1.0,-1.0,,,,,
526,013602,020,-1.0,-1.0,,,,,
527,013602,030,-1.0,-1.0,,,,,
528,013612,010,-1.0,-1.0,,,,,
529,013631,010,-1.0,-1.0,,,,,
530,013631,020,-1.0,-1.0,,,,,
531,013635,010,-1.0,-1.0,,,,,
532,013635,020,-1.0,-1.0,,,,,
533,013637,010,-1.0,-1.0,,,,,
534,013652,010,1.0,1.0,,,,,
535,013656,010,-1.0,-1.0,,,,,
536,013656,040,1.0,1.0,,,,,
537,013671,010,1.0,1.0,,,,,
538,013671,020,-1.0,-1.0,,,,,
539,013678,010,-1.0,-1.0,,,,,
540,013678,040,1.0,1.0,,,,,
541,013699,010,-1.0,-1.0,,,,,
542,013699,040,-1.0,-1.0,,,,,
543,013706,010,-1.0,-1.0,,,,,
544,013734,010,1.0,1.0,,,,,
545,013734,020,1.0,1.0,,,,,
546,013738,010,1.0,1.0,,,,,
547,013738,020,1.0,1.0,,,,,
548,013753,010,1.0,1.0,,,,,
549,013753,020,-1.0,-1.0,,,,,
550,013757,020,-1.0,-1.0,,,,,
551,013757,030,-1.0,-1.0,,,,,
552,013772,020,-1.0,-1.0,,,,,
553,013772,030,-1.0,-1.0,,,,,
554,013784,010,-1.0,-1.0,,,,,
555,013784,040,-1.0,-1.0,,,,,
556,013794,030,-1.0,-1.0,,,,,
557,013802,020,-1.0,-1.0,,,,,
558,013813,010,-1.0,-1.0,,,,,
559,013814,010,-1.0,-1.0,,,,,
560,013814,040,-1.0,-1.0,,,,,
561,013815,010,-1.0,-1.0,,,,,
562,013816,010,1.0,1.0,,,,,
563,013816,040,-1.0,-1.0,,,,,
564,013817,010,-1.0,-1.0,,,,,
565,013817,011,-1.0,-1.0,,,,,
566,013817,040,-1.0,-1.0,,,,,
567,013817,041,1.0,1.0,,,,,
568,013820,010,-1.0,-1.0,,,,,
569,013820,020,-1.0,-1.0,,,,,
570,013857,010,-1.0,-1.0,,,,,
571,013857,020,-1.0,-1.0,,,,,
572,013858,020,1.0,1.0,,,,,
573,013858,030,1.0,1.0,,,,,
574,013860,010,-1.0,-1.0,,,,,
575,013891,010,1.0,1.0,,,,,
576,013894,010,-1.0,-1.0,,,,,
577,013894,040,-1.0,-1.0,,,,,
578,013897,010,-1.0,-1.0,,,,,
579,013899,010,-1.0,-1.0,,,,,
580,013899,040,-1.0,-1.0,,,,,
581,013902,010,-1.0,-1.0,,,,,
582,013902,020,-1.0,-1.0,,,,,
583,013912,010,-1.0,-1.0,,,,,
584,013912,020,1.0,1.0,,,,,
585,013915,010,-1.0,-1.0,,,,,
586,013915,011,1.0,1.0,,,,,
587,013916,010,-1.0,-1.0,,,,,
588,013916,040,-1.0,-1.0,,,,,
589,013965,010,-1.0,-1.0,,,,,
590,013965,020,1.0,1.0,,,,,
591,013974,010,-1.0,-1.0,,,,,
592,014008,010,-1.0,-1.0,,,,,
593,014024,020,-1.0,-1.0,,,,,
594,014024,030,-1.0,-1.0,,,,,
595,014028,010,-1.0,-1.0,,,,,
596,014028,020,-1.0,-1.0,,,,,
597,014033,010,-1.0,-1.0,,,,,
598,014036,010,-1.0,-1.0,,,,,
599,014036,040,1.0,1.0,,,,,
600,014043,010,-1.0,-1.0,,,,,
601,014043,020,-1.0,-1.0,,,,,
602,014063,010,-1.0,-1.0,,,,,
603,014063,020,-1.0,-1.0,,,,,
604,014069,010,-1.0,-1.0,,,,,
605,014069,020,-1.0,-1.0,,,,,
606,014072,010,-1.0,-1.0,,,,,
607,014072,040,-1.0,-1.0,,,,,
608,014080,020,1.0,1.0,,,,,
609,014080,030,-1.0,-1.0,,,,,
610,014081,010,-1.0,-1.0,,,,,
611,014081,040,-1.0,-1.0,,,,,
612,014085,010,-1.0,-1.0,,,,,
613,014092,010,-1.0,-1.0,,,,,
